Description,Monthly_Installment,List_Price,Model,Milleage,Gear_Type,Location
2019 Mazda 6 2.5 SKYACTIV-G GVC Plus Sedan - SUNROOF BOSE SYSTEM 360 DEGREE CAMERA ELECTRIC LEATHER SEAT PADDLE SHIFT,"RM 1,436 / month","RM 110,800",Mazda 6,105 - 110K KM,Automatic,"Kuala Lumpur, Cheras"
2022 Volkswagen Tiguan 1.4 Allspace Elegance SUV - FULL SERVICE WARRANTY 2026 POWER BOOT MEMORY SEAT,"RM 1,761 / month","RM 135,800",Volkswagen Tiguan,60 - 65K KM,Automatic,"Kuala Lumpur, Cheras"
2013/2018 Mercedes-Benz CLA250 2.0 AMG Coupe - SUNROOF HARMAN SOUND SYSTEM MEMORY LEATHER SEAT,"RM 1,190 / month","RM 91,800",Mercedes-Benz CLA250,90 - 95K KM,Automatic,"Kuala Lumpur, Cheras"
"2018 Mercedes-Benz C180 1.6 AMG Sedan - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 2,020 / month","RM 155,800",Mercedes-Benz C180,65 - 70K KM,Automatic,"Penang, Bukit Mertajam"
"2017 BMW 330e 2.0 M Sport Sedan - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 1,022 / month","RM 78,800",BMW 330e,135 - 140K KM,Automatic,"Penang, Bukit Mertajam"
"2017 Mercedes-Benz E250 2.0 Avantgarde Sedan - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 2,279 / month","RM 175,800",Mercedes-Benz E250,100 - 105K KM,Automatic,"Penang, Bukit Mertajam"
"2019 BMW X1 2.0 sDrive20i Sport Line SUV - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 1,631 / month","RM 125,800",BMW X1,65 - 70K KM,Automatic,"Penang, Bukit Mertajam"
2017/2022 Toyota Alphard 2.5 S MPV - Type Black Popular Model (Free Warranty),"RM 2,551 / month","RM 196,800",Toyota Alphard,70 - 75K KM,Automatic,"Johor, Johor Bahru"
2015/2021 Toyota Alphard 2.5 G S C Package MPV,"RM 2,422 / month","RM 186,800",Toyota Alphard,95 - 100K KM,Automatic,"Johor, Johor Bahru"
2019/2020 Maxus G10 2.0 Executive MPV - TRUE YEAR MAKE REGISTER 2020 NEW FACELIFT 2-POWER DOOR POWER BOOT 7-SEAT PILOT SEAT FULL SPEC,"RM 1,425 / month","RM 109,900",N/A,105 - 110K KM,Automatic,"Selangor, Seri Kembangan"
2020 Toyota Granace 2.8 MPV - Premium 6 Seater Grade 5A Ready Stock,"RM 3,863 / month","RM 298,000",N/A,10 - 15K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2022 Toyota Land Cruiser 3.3 ZX Modellista SUV - Like New Low Mileage Nego Till Let Go,"RM 7,623 / month","RM 588,000",Toyota Land Cruiser,5 - 10K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2020 Toyota Harrier 2.0 SUV - Premium Z Leather,"RM 2,567 / month","RM 198,000",Toyota Harrier,25 - 30K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2021 Toyota Vellfire 2.5 MPV - Golden Eye 2,"RM 3,060 / month","RM 236,000",Toyota Vellfire,25 - 30K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2019 Toyota Vellfire 3.5 Executive Lounge Z MPV - Full Spec Like New Nego Till Let Go,"RM 3,993 / month","RM 308,000",Toyota Vellfire,40 - 45K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2013 Mazda CX-5 2.0 SKYACTIV-G SUV - HIGH SPEC LEATHER SEAT SUNROOF CBU FREE INSURANCE,RM 542 / month,"RM 41,800",Mazda CX-5,125 - 130K KM,Automatic,"Selangor, Kajang"
2015 BMW X3 2.0 xDrive20i SUV - LCI (Power Boot Keyless Entry Paddle Shift),RM 984 / month,"RM 75,888",BMW X3,80 - 85K KM,Automatic,"Selangor, Seri Kembangan"
